access,accessibility,accessible,accessing,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collaborate,collaboration,collaboratively,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docs,document,documentary,documentation,documented,guide,how-tos,instruction,instructional,instructions,well-documented,workflow,step,step-by-step,step-like,steps,provide,provided,providing,detail,detailed,communicate,communicating,comunication,describe,description,descriptors,manual,manuals,clear,clearly,intuititive,intuitive,intuitively
file format,file formats,image format,image formats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forum,image sc,imagesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,open-source,opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plug,plugging,plugin,plugins,tool,tool plugin,tools packages,api,package,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial,tutorial+example,tutorials,tutorials application,youtube,workshops,provide,provided,providing,explain,explaining,explanation,tips,example,examples,tutorials,best,practice,,,,,,,,,,,,,,,,
user,user-friendliness,user-friendly,xuserfriendly,userside,ux,friendly,interface,interfaces,interfases,end,end-use,end-user,gui,guis,ui,easy-access,easy-to-navigate,Easy to use ,,,,,,,,,,,,,,,
acknowledge,thank,cite,credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
